category,published_at,source,text,title,url,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
general,2023-06-27T00:03:15+00:00,goldinvestingnews,"Forrestania Resources Limited (ASX:FRS) (Forrestania or the Company) is pleased to announce that it has completed its maiden drilling programme at the Calypso target where multiple thick (up to ~63m) pegmatites have been intercepted. The company drilled 14 RC holes at the prospect for 1,968m to define the extents of and investigate whether pegmatites identified from mapping and historic drilling2 host lithium mineralisation. Calypso is located at the company’s flagship Forrestania project, in WA’s southern Yilgarn region (Figure 1). Highlights Multiple stacked pegmatites intersected in 13...",63m Pegmatite Intersected In Successful Maiden Calypso Drilling,https://investingnews.com.au/63m-pegmatite-intersected-in-successful-maiden-calypso-drilling,"['forrestania', 'resource', 'limited', 'asxfrs', 'forrestania', 'company', 'pleased', 'announce', 'completed', 'maiden', 'drilling', 'programme', 'calypso', 'target', 'multiple', 'thick', '63m', 'pegmatite', 'intercepted', 'company', 'drilled', '14', 'rc', 'hole', 'prospect', '1968m', 'define', 'extent', 'investigate', 'whether', 'pegmatite', 'identified', 'mapping', 'historic', 'drilling2', 'host', 'lithium', 'mineralisation', 'calypso', 'located', 'company', '’', 'flagship', 'forrestania', 'project', 'wa', '’', 'southern', 'yilgarn', 'region', 'figure', '1', 'highlight', 'multiple', 'stacked', 'pegmatite', 'intersected', '13']",0.031,0.146,0.822,0.7184,Positive,[],[]
general,2023-06-25T10:36:47+00:00,americanbankingnews,"Element EV, Solar &#038; Battery Materials (Lithium, Nickel, Copper, Cobalt) Futures Strategy ETF (NYSEARCA:CHRG) Stock Price Down 1.2%","Element EV, Solar &#038; Battery Materials (Lithium, Nickel, Copper, Cobalt) Futures Strategy ETF (NYSEARCA:CHRG) Stock Price Down 1.2%",https://www.americanbankingnews.com/2023/06/25/element-ev-solar-battery-materials-lithium-nickel-copper-cobalt-futures-strategy-etf-nysearcachrg-stock-price-down-1-2.html,"['element', 'ev', 'solar', '038', 'battery', 'material', 'lithium', 'nickel', 'copper', 'cobalt', 'future', 'strategy', 'etf', 'nysearcachrg', 'stock', 'price', '12']",0.0,0.0,1.0,0.0,Neutral,[],[]
general,2023-06-27T09:46:16+00:00,4-traders,"(marketscreener.com) NEW YORK, June 27, 2023 /PRNewswire/ -- The Klein Law Firm announces that a class action complaint has been filed on behalf of shareholders of Atlas Lithium Corporation alleging that the Company violated federal securities laws.Class Period: March 25, 2022 to May 3, 2023Lead Plaintiff Deadline: August 1, 2023No obligation or cost to you.Learn...https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/ATLX-ALERT-The-Klein-Law-Firm-Announces-a-Lead-Plaintiff-Deadline-of-August-1-2023-in-the-Class-Ac-44201629/?utm_medium=RSS&utm_content=20230627","ATLX ALERT: The Klein Law Firm Announces a Lead Plaintiff Deadline of August 1, 2023 in the Class Action Filed on Behalf of Atlas Lithium Corporation Shareholders",https://www.marketscreener.com/quote/stock/ATLAS-LITHIUM-CORPORATION-120795033/news/ATLX-ALERT-The-Klein-Law-Firm-Announces-a-Lead-Plaintiff-Deadline-of-August-1-2023-in-the-Class-Ac-44201629/?utm_medium=RSS&utm_content=20230627,"['marketscreenercom', 'new', 'york', 'june', '27', '2023', 'prnewswire', 'klein', 'law', 'firm', 'announces', 'class', 'action', 'complaint', 'filed', 'behalf', 'shareholder', 'atlas', 'lithium', 'corporation', 'alleging', 'company', 'violated', 'federal', 'security', 'lawsclass', 'period', 'march', '25', '2022', 'may', '3', '2023lead', 'plaintiff', 'deadline', 'august', '1', '2023no', 'obligation', 'cost', 'youlear']",0.127,0.055,0.818,-0.4939,Negative,['klein'],['new york']
general,2023-06-07T13:16:01+00:00,4-traders,"(marketscreener.com) VANCOUVER, British Columbia, June 07, 2023 -- American Lithium Corp. announces that it has entered into a definitive arrangement agreement with Friday&rsquo;s Dog Holdings Inc. , a public company currently listed on the TSX Venture Exchange and to be renamed International Uranium Corp. , dated June 6, 2023, pursuant to which it will transfer...https://www.marketscreener.com/quote/stock/AMERICAN-LITHIUM-CORP-37581206/news/American-Lithium-Reaches-Definitive-Agreement-to-Spin-Out-Macusani-Uranium-Deposit-into-an-Independe-44061977/?utm_medium=RSS&utm_content=20230607",American Lithium Reaches Definitive Agreement to Spin Out Macusani Uranium Deposit into an Independent Public Company,https://www.marketscreener.com/quote/stock/AMERICAN-LITHIUM-CORP-37581206/news/American-Lithium-Reaches-Definitive-Agreement-to-Spin-Out-Macusani-Uranium-Deposit-into-an-Independe-44061977/?utm_medium=RSS&utm_content=20230607,"['marketscreenercom', 'vancouver', 'british', 'columbia', 'june', '07', '2023', 'american', 'lithium', 'corp', 'announces', 'entered', 'definitive', 'arrangement', 'agreement', 'fridayrsquos', 'dog', 'holding', 'inc', 'public', 'company', 'currently', 'listed', 'tsx', 'venture', 'exchange', 'renamed', 'international', 'uranium', 'corp', 'dated', 'june', '6', '2023', 'pursuant', 'transfer']",0.0,0.086,0.914,0.4939,Positive,"['american lithium corp announces', 'international uranium corp']",[]
general,2023-06-08T07:32:46+00:00,etfdailynews,"Atlantic Lithium Limited (OTC:ALLIF &#8211; Get Rating)&#8217;s share price traded up 6.2% during trading on Wednesday . The company traded as high as $0.43 and last traded at $0.43. 59,927 shares changed hands during mid-day trading, an increase of 19% from the average session volume of 50,570 shares. The stock had previously closed at $0.40. [&#8230;]",Atlantic Lithium (OTC:ALLIF) Trading 6.2% Higher,https://www.etfdailynews.com/2023/06/08/atlantic-lithium-otcallif-trading-6-2-higher/,"['atlantic', 'lithium', 'limited', 'otcallif', '8211', 'get', 'rating8217s', 'share', 'price', 'traded', '62', 'trading', 'wednesday', 'company', 'traded', 'high', '043', 'last', 'traded', '043', '59927', 'share', 'changed', 'hand', 'midday', 'trading', 'increase', '19', 'average', 'session', 'volume', '50570', 'share', 'stock', 'previously', 'closed', '040', '8230']",0.041,0.263,0.696,0.8481,Positive,[],[]
general,2023-06-27T04:11:13+00:00,nationalpost,"RENO, Nev. (AP) &#8212; A U.S. appeals court will consider challenges Tuesday to a huge lithium mine in Nevada in a case that pits environmentalists and Native Americans against President Joe Biden&#8217;s plans to combat climate change and could have broad implications for mining operations across the West. For the first time since it blocked [&#8230;]","Court to hear appeal over Biden-backed Nevada lithium mine opposed by tribes, environmentalists",https://nationalpost.com/pmn/news-pmn/court-to-hear-appeal-over-biden-backed-nevada-lithium-mine-opposed-by-tribes-environmentalists,"['reno', 'nev', 'ap', '8212', 'u', 'appeal', 'court', 'consider', 'challenge', 'tuesday', 'huge', 'lithium', 'mine', 'nevada', 'case', 'pit', 'environmentalist', 'native', 'american', 'president', 'joe', 'biden8217s', 'plan', 'combat', 'climate', 'change', 'could', 'broad', 'implication', 'mining', 'operation', 'across', 'west', 'first', 'time', 'since', 'blocked', '8230']",0.109,0.088,0.803,-0.2263,Negative,[],[]
general,2023-06-07T14:20:01+00:00,4-traders,"(marketscreener.com) Hertz Lithium Inc. , a Company focused on lithium exploration and novel extraction technologies, is pleased to provide an update on the field exploration activities that commenced on May 2, 2023, at its Lucky Mica Property in Maricopa County in Arizona, USA.To date the field team has completed general prospecting, mapping and sampling of...https://www.marketscreener.com/quote/stock/HERTZ-LITHIUM-INC-153144260/news/Hertz-Lithium-Inc-Provides-Update-on-Exploration-of-The-Lucky-Mica-Project-and-Sympathizes-with-Jam-44062556/?utm_medium=RSS&utm_content=20230607",Hertz Lithium Inc. Provides Update on Exploration of The Lucky Mica Project and Sympathizes with James Bay Lithium Exploration Halt,https://www.marketscreener.com/quote/stock/HERTZ-LITHIUM-INC-153144260/news/Hertz-Lithium-Inc-Provides-Update-on-Exploration-of-The-Lucky-Mica-Project-and-Sympathizes-with-Jam-44062556/?utm_medium=RSS&utm_content=20230607,"['marketscreenercom', 'hertz', 'lithium', 'inc', 'company', 'focused', 'lithium', 'exploration', 'novel', 'extraction', 'technology', 'pleased', 'provide', 'update', 'field', 'exploration', 'activity', 'commenced', 'may', '2', '2023', 'lucky', 'mica', 'property', 'maricopa', 'county', 'arizona', 'usato', 'date', 'field', 'team', 'completed', 'general', 'prospecting', 'mapping', 'sampling']",0.0,0.332,0.668,0.9081,Positive,['marketscreenercom hertz lithium inc company'],"['mica', 'arizona']"
general,2023-06-27T18:27:13+00:00,azcapitoltimes,A U.S. appeals court will consider challenges Tuesday to a huge lithium mine in Nevada in a case that pits environmentalists and Native Americans against President Joe Biden's plans to combat climate change and could have broad implications for mining operations across the West.,"Court to hear appeal over Biden-backed lithium mine opposed by tribes, environmentalists",https://azcapitoltimes.com/news/2023/06/27/court-to-hear-appeal-over-biden-backed-lithium-mine-opposed-by-tribes-environmentalists/,"['u', 'appeal', 'court', 'consider', 'challenge', 'tuesday', 'huge', 'lithium', 'mine', 'nevada', 'case', 'pit', 'environmentalist', 'native', 'american', 'president', 'joe', 'bidens', 'plan', 'combat', 'climate', 'change', 'could', 'broad', 'implication', 'mining', 'operation', 'across', 'west']",0.077,0.116,0.806,0.0516,Positive,[],[]
general,2023-06-26T21:16:13+00:00,upiasia,"John B. Goodenough, known for developing the lithium-ion battery in 1980, died on Sunday, a month shy of his 101st birthday.","John B. Goodenough, inventor of the lithium-ion battery, dies at 100",https://www.upi.com/Top_News/US/2023/06/26/john-goodenough-nobel-prize-lithium-battery-dies/8651687813542/,"['john', 'b', 'goodenough', 'known', 'developing', 'lithiumion', 'battery', '1980', 'died', 'sunday', 'month', 'shy', '101st', 'birthday']",0.337,0.0,0.663,-0.6808,Negative,['101st'],[]
general,2023-06-08T10:10:42+00:00,americanbankingnews,"Bacanora Lithium Plc (LON:BCN &#8211; Get Rating) shares crossed below its 50-day moving average during trading on Wednesday . The stock has a 50-day moving average of GBX 67 ($0.83) and traded as low as GBX 67 ($0.83). Bacanora Lithium shares last traded at GBX 67 ($0.83), with a volume of 238,939 shares trading hands. [&#8230;]",Bacanora Lithium (LON:BCN) Stock Passes Below 50-Day Moving Average of $67.00,https://www.americanbankingnews.com/2023/06/08/bacanora-lithium-lonbcn-stock-passes-below-50-day-moving-average-of-67-00.html,"['bacanora', 'lithium', 'plc', 'lonbcn', '8211', 'get', 'rating', 'share', 'crossed', '50day', 'moving', 'average', 'trading', 'wednesday', 'stock', '50day', 'moving', 'average', 'gbx', '67', '083', 'traded', 'low', 'gbx', '67', '083', 'bacanora', 'lithium', 'share', 'last', 'traded', 'gbx', '67', '083', 'volume', '238939', 'share', 'trading', 'hand', '8230']",0.045,0.209,0.746,0.7717,Positive,['bacanora lithium plc lonbcn 8211'],[]
