text,retweet_count,favorite_count,created_at,preprocessed_text,sentiment_neg,sentiment_pos,sentiment_neutral,sentiment,sentiment_group,ORG_entities,GPE_entities
RT @operagxofficial: here's a REAL pride month logo https://t.co/CoLCGuO5qw,59839,0,2023-06-08 09:27:03+00:00,"['rt', 'operagxofficial', 'here', 'real', 'pride', 'month', 'logo']",0.0,0.286,0.714,0.34,Positive,[],[]
"RT @bts_bighit: A Piece of 'Take Two' - Jung Kook

STAY

Digital Single 'Take Two'
2023. 6. 9. 1PM KST Release

#TakeTwo #JungKook_STAY #Ju…",42545,0,2023-06-08 09:19:23+00:00,"['rt', 'btsbighit', 'piece', 'take', 'two', 'jung', 'kook', 'stay', 'digital', 'single', 'take', 'two', '2023', '6', '9', '1pm', 'kst', 'release', 'taketwo', 'jungkookstay', 'ju…']",0.0,0.0,1.0,0.0,Neutral,[],[]
"RT @bellaETH68: 🆓Complete #Polkadot  Airdrop : 
Visit https://t.co/5R049MNJ2y  to sign up and provide the necessary details. This will ensu…",18357,0,2023-06-08 09:12:01+00:00,"['rt', 'bellaeth68', '🆓complete', 'polkadot', 'airdrop', 'visit', 'sign', 'provide', 'necessary', 'detail', 'ensu…']",0.0,0.0,1.0,0.0,Neutral,[],[]
RT @MichaelaOkla: Electric shock therapy couldn’t make gay ppl straight but they rly think having a rainbow poster that says “be you” at an…,14880,0,2023-06-08 09:36:06+00:00,"['rt', 'michaelaokla', 'electric', 'shock', 'therapy', '’', 'make', 'gay', 'ppl', 'straight', 'rly', 'think', 'rainbow', 'poster', 'say', '“', '”', 'an…']",0.149,0.109,0.743,-0.1779,Negative,[],[]
RT @greg_price11: What I am about to tell you should be the most important story in America but no national media is talking about it. Read…,9487,0,2023-06-08 08:11:21+00:00,"['rt', 'gregprice11', 'tell', 'important', 'story', 'america', 'national', 'medium', 'talking', 'read…']",0.0,0.167,0.833,0.2023,Positive,['gregprice11'],['america']
"RT @Dougmacd9826: We had everything, free dentists, free education, free eye tests, we owned all the services, rail, telecoms, water, gas,…",8193,0,2023-06-08 09:25:13+00:00,"['rt', 'dougmacd9826', 'everything', 'free', 'dentist', 'free', 'education', 'free', 'eye', 'test', 'owned', 'service', 'rail', 'telecom', 'water', 'gas…']",0.0,0.432,0.568,0.872,Positive,[],[]
"RT @QuaiNetwork: Quai Network is more than 10,000 times more energy efficient than Bitcoin at full load, with the ability to become greenho…",6447,0,2023-06-08 00:48:54+00:00,"['rt', 'quainetwork', 'quai', 'network', '10000', 'time', 'energy', 'efficient', 'bitcoin', 'full', 'load', 'ability', 'become', 'greenho…']",0.0,0.396,0.604,0.7351,Positive,[],[]
"RT @DSSNewsUpdates: The energy of disciples attending Satsang Bhandara in Barnawa, UP is electric. This celebration of humanity &amp; faith is…",4182,0,2023-06-08 09:24:36+00:00,"['rt', 'dssnewsupdates', 'energy', 'disciple', 'attending', 'satsang', 'bhandara', 'barnawa', 'electric', 'celebration', 'humanity', 'amp', 'faith', 'is…']",0.0,0.29,0.71,0.5994,Positive,['barnawa electric celebration humanity'],[]
RT @SaeedDiCaprio: one of my friends is a trans woman doing a phd in gender studies and I swear on my life she mentioned trans ppl less tha…,3768,0,2023-06-08 09:32:07+00:00,"['rt', 'saeeddicaprio', 'one', 'friend', 'trans', 'woman', 'phd', 'gender', 'study', 'swear', 'life', 'mentioned', 'trans', 'ppl', 'le', 'tha…']",0.065,0.174,0.761,0.4588,Positive,[],[]
"RT @QuaiNetwork: At full load, Quai Network is more than 10,000 times more energy efficient than Bitcoin. 

Learn more about Quai's energy…",3510,0,2023-06-08 07:31:36+00:00,"['rt', 'quainetwork', 'full', 'load', 'quai', 'network', '10000', 'time', 'energy', 'efficient', 'bitcoin', 'learn', 'quais', 'energy…']",0.0,0.29,0.71,0.5994,Positive,[],[]
