text,retweet_count,favorite_count,created_at
RT @operagxofficial: here's a REAL pride month logo https://t.co/CoLCGuO5qw,59839,0,2023-06-08 09:27:03+00:00
"RT @bts_bighit: A Piece of 'Take Two' - Jung Kook

STAY

Digital Single 'Take Two'
2023. 6. 9. 1PM KST Release

#TakeTwo #JungKook_STAY #Ju…",42545,0,2023-06-08 09:19:23+00:00
"RT @bellaETH68: 🆓Complete #Polkadot  Airdrop : 
Visit https://t.co/5R049MNJ2y  to sign up and provide the necessary details. This will ensu…",18357,0,2023-06-08 09:12:01+00:00
RT @MichaelaOkla: Electric shock therapy couldn’t make gay ppl straight but they rly think having a rainbow poster that says “be you” at an…,14880,0,2023-06-08 09:36:06+00:00
RT @greg_price11: What I am about to tell you should be the most important story in America but no national media is talking about it. Read…,9487,0,2023-06-08 08:11:21+00:00
"RT @Dougmacd9826: We had everything, free dentists, free education, free eye tests, we owned all the services, rail, telecoms, water, gas,…",8193,0,2023-06-08 09:25:13+00:00
"RT @QuaiNetwork: Quai Network is more than 10,000 times more energy efficient than Bitcoin at full load, with the ability to become greenho…",6447,0,2023-06-08 00:48:54+00:00
"RT @DSSNewsUpdates: The energy of disciples attending Satsang Bhandara in Barnawa, UP is electric. This celebration of humanity &amp; faith is…",4182,0,2023-06-08 09:24:36+00:00
RT @SaeedDiCaprio: one of my friends is a trans woman doing a phd in gender studies and I swear on my life she mentioned trans ppl less tha…,3768,0,2023-06-08 09:32:07+00:00
"RT @QuaiNetwork: At full load, Quai Network is more than 10,000 times more energy efficient than Bitcoin. 

Learn more about Quai's energy…",3510,0,2023-06-08 07:31:36+00:00
"RT @SolarIndiaTweet: Retweet if you think solar roofs are solution for clean and renewable energy india , follow us for support ⚡️🌲 https:/…",3485,0,2023-06-08 08:45:28+00:00
"RT @QuaiNetwork: ""Proof-of-Work, by its very nature, incentivizes constant innovation and advancements in energy creation and distribution.…",2711,0,2023-06-08 09:45:58+00:00
RT @operagxofficial: my boss told me to go to hell but the map he gave me is so confusing 😥 https://t.co/0fqqkucB0M,2576,0,2023-06-08 09:28:23+00:00
"RT @AlixG_2: Mr Atkinson, who has a degree in electrical and electronic engineering, points out that greenhouse gas emissions are 70 per ce…",2301,0,2023-06-08 08:58:58+00:00
"RT @jollynony: The El-Rufai video was not a confession. It was a threat.

The ev!l man is basically saying, “Do not dare overturn the elect…",2275,0,2023-06-08 09:20:44+00:00
"RT @POTUS: Because of our clean energy investments, we'll see a 25% increase in solar, wind, and battery deployment over the next four year…",2238,0,2023-06-08 08:03:19+00:00
RT @robrousseau: Have we tried an electric vehicle tax credit,2141,0,2023-06-08 09:34:12+00:00
RT @Tesla: Model S Plaid with track pack just set new lap record for a production EV at Nürburgring 💪 https://t.co/jrUCkt95jw,1891,0,2023-06-08 09:04:48+00:00
RT @Figensport: The Oscar goes to... https://t.co/dOYr71Owlf,1758,0,2023-06-08 09:25:24+00:00
"RT @WhiteHouse: Under @POTUS, private companies have announced over $470 billion in manufacturing and clean energy investments.

And, we’ve…",1683,0,2023-06-08 08:30:47+00:00
"RT @RichardWellings: It's a repeat of the diesel scam. They're sucking people in with subsidies and tax breaks, before they tell us ""EVs ar…",1654,0,2023-06-08 10:05:39+00:00
"RT @KaraJarina: Clean, renewable energy and storage must displace fossil fuels in powering everything we do. A clean energy revolution. Cou…",1618,0,2023-06-08 07:05:51+00:00
RT @anndemeuleprada: vintage dior pierced saddle bag https://t.co/Ghe0oG4UjQ,1562,0,2023-06-08 09:03:38+00:00
RT @aproko_doctor: We've inspected/costed what it will take to give solar panels in this hospital so we can save the lives of newborns and…,1436,0,2023-06-08 08:28:46+00:00
"RT @AlexEpstein: “‘Green energy’ has 2 problems

1) It’s not really energy: It doesn’t provide reliable energy

2) It’s not really green: I…",1296,0,2023-06-08 09:54:58+00:00
